skills,interests,education,recommended_career,skills_mapped
"mathematics, aws, mlops, java",,phd,ai product manager,aws;java;mathematics;mlops
"python, java, mathematics, spark",,phd,research scientist,java;mathematics;python;spark
"scala, spark, azure, tableau, kubernetes",,bachelor,data engineer,azure;kubernetes;scala;spark;tableau
"python, aws, data visualization, nlp",,bachelor,ai software engineer,aws;data visualization;nlp;python
"scala, computer vision, sql, data visualization",,bachelor,ai architect,computer vision;data visualization;scala;sql
"nlp, hadoop, mlops, scala",,phd,computer vision engineer,hadoop;mlops;nlp;scala
"pytorch, docker, tensorflow, scala, aws",,bachelor,machine learning researcher,aws;docker;pytorch;scala;tensorflow
"spark, scala, kubernetes, hadoop, java",,master,robotics engineer,hadoop;java;kubernetes;scala;spark
"hadoop, kubernetes, python, linux",,associate,machine learning engineer,hadoop;kubernetes;linux;python
"pytorch, sql, mlops, spark",,master,research scientist,mlops;pytorch;spark;sql
"azure, sql, mathematics, docker, aws",,bachelor,autonomous systems engineer,aws;azure;docker;mathematics;sql
"azure, hadoop, sql, pytorch",,bachelor,ai specialist,azure;hadoop;pytorch;sql
"python, tensorflow, linux, pytorch, deep learning",,associate,head of ai,deep learning;linux;python;pytorch;tensorflow
"python, r, mathematics, tensorflow",,bachelor,deep learning engineer,mathematics;python;r;tensorflow
"gcp, python, mlops",,associate,principal data scientist,gcp;mlops;python
"r, tensorflow, scala, linux, mathematics",,master,data analyst,linux;mathematics;r;scala;tensorflow
"kubernetes, python, data visualization",,phd,principal data scientist,data visualization;kubernetes;python
"data visualization, azure, gcp, java",,phd,ai research scientist,azure;data visualization;gcp;java
"python, azure, spark",,associate,ai specialist,azure;python;spark
"kubernetes, scala, git, azure, aws",,associate,deep learning engineer,aws;azure;git;kubernetes;scala
"linux, kubernetes, python, tensorflow, scala",,associate,research scientist,kubernetes;linux;python;scala;tensorflow
"java, sql, kubernetes, hadoop",,associate,data engineer,hadoop;java;kubernetes;sql
"statistics, python, computer vision, spark, kubernetes",,master,data engineer,computer vision;kubernetes;python;spark;statistics
"spark, nlp, gcp, tableau",,associate,principal data scientist,gcp;nlp;spark;tableau
"nlp, sql, java, gcp",,master,ai software engineer,gcp;java;nlp;sql
"python, tensorflow, statistics, azure, gcp",,phd,nlp engineer,azure;gcp;python;statistics;tensorflow
"kubernetes, python, azure, tensorflow",,master,ai architect,azure;kubernetes;python;tensorflow
"python, computer vision, linux, tensorflow, kubernetes",,phd,ai software engineer,computer vision;kubernetes;linux;python;tensorflow
"scala, gcp, python, statistics, mlops",,master,ai software engineer,gcp;mlops;python;scala;statistics
"kubernetes, hadoop, gcp, tensorflow, python",,phd,head of ai,gcp;hadoop;kubernetes;python;tensorflow
"scala, tableau, azure, docker",,phd,ai specialist,azure;docker;scala;tableau
"linux, nlp, docker, hadoop, computer vision",,master,machine learning engineer,computer vision;docker;hadoop;linux;nlp
"statistics, tensorflow, scala, python",,master,autonomous systems engineer,python;scala;statistics;tensorflow
"python, linux, mlops, statistics, git",,master,computer vision engineer,git;linux;mlops;python;statistics
"pytorch, mathematics, deep learning",,bachelor,robotics engineer,deep learning;mathematics;pytorch
"tensorflow, docker, linux",,phd,data engineer,docker;linux;tensorflow
"tensorflow, gcp, statistics, python",,phd,ai specialist,gcp;python;statistics;tensorflow
"mlops, spark, gcp",,phd,data scientist,gcp;mlops;spark
"git, hadoop, tableau, aws",,associate,ai architect,aws;git;hadoop;tableau
"pytorch, gcp, deep learning",,phd,ai consultant,deep learning;gcp;pytorch
"mathematics, sql, docker, tensorflow",,master,principal data scientist,docker;mathematics;sql;tensorflow
"deep learning, scala, mlops",,master,ai software engineer,deep learning;mlops;scala
"scala, hadoop, aws",,master,ai consultant,aws;hadoop;scala
"mathematics, linux, aws, docker, sql",,master,machine learning researcher,aws;docker;linux;mathematics;sql
"data visualization, python, nlp",,phd,ai product manager,data visualization;nlp;python
"data visualization, spark, deep learning",,associate,ai architect,data visualization;deep learning;spark
"linux, docker, kubernetes",,phd,machine learning engineer,docker;kubernetes;linux
"sql, spark, pytorch, hadoop",,phd,data scientist,hadoop;pytorch;spark;sql
"java, deep learning, tensorflow, statistics",,bachelor,machine learning researcher,deep learning;java;statistics;tensorflow
"git, linux, python, kubernetes",,phd,principal data scientist,git;kubernetes;linux;python
"git, aws, azure, statistics, scala",,master,ai product manager,aws;azure;git;scala;statistics
"linux, azure, tensorflow, git",,phd,ai consultant,azure;git;linux;tensorflow
"tensorflow, pytorch, aws, statistics",,associate,machine learning engineer,aws;pytorch;statistics;tensorflow
"docker, python, nlp, mlops",,bachelor,ai product manager,docker;mlops;nlp;python
"sql, spark, python, r",,phd,machine learning engineer,python;r;spark;sql
"hadoop, linux, gcp, tableau, mathematics",,master,ai architect,gcp;hadoop;linux;mathematics;tableau
"spark, linux, python, azure",,master,machine learning researcher,azure;linux;python;spark
"r, sql, mlops, statistics, hadoop",,master,research scientist,hadoop;mlops;r;sql;statistics
"docker, nlp, kubernetes, statistics, mathematics",,associate,machine learning researcher,docker;kubernetes;mathematics;nlp;statistics
"data visualization, linux, python, tensorflow, aws",,master,robotics engineer,aws;data visualization;linux;python;tensorflow
"r, git, kubernetes, computer vision",,master,machine learning researcher,computer vision;git;kubernetes;r
"git, pytorch, aws, data visualization",,associate,machine learning engineer,aws;data visualization;git;pytorch
"tensorflow, mlops, scala",,phd,ml ops engineer,mlops;scala;tensorflow
"scala, pytorch, aws, tensorflow",,associate,ai research scientist,aws;pytorch;scala;tensorflow
"kubernetes, python, statistics, docker, scala",,associate,ai product manager,docker;kubernetes;python;scala;statistics
"tableau, tensorflow, java, kubernetes",,bachelor,nlp engineer,java;kubernetes;tableau;tensorflow
"nlp, gcp, docker",,phd,ai consultant,docker;gcp;nlp
"java, computer vision, python, aws, tensorflow",,phd,nlp engineer,aws;computer vision;java;python;tensorflow
"python, tensorflow, azure",,phd,robotics engineer,azure;python;tensorflow
"scala, r, tableau, tensorflow, docker",,phd,ai specialist,docker;r;scala;tableau;tensorflow
"gcp, kubernetes, sql, computer vision",,master,data scientist,computer vision;gcp;kubernetes;sql
"java, python, deep learning",,phd,robotics engineer,deep learning;java;python
"computer vision, linux, gcp, statistics",,associate,data analyst,computer vision;gcp;linux;statistics
"linux, sql, git, mlops, hadoop",,bachelor,research scientist,git;hadoop;linux;mlops;sql
"kubernetes, git, gcp, nlp, sql",,phd,machine learning researcher,gcp;git;kubernetes;nlp;sql
"scala, r, nlp, linux, deep learning",,associate,computer vision engineer,deep learning;linux;nlp;r;scala
"azure, sql, scala, data visualization, git",,master,data scientist,azure;data visualization;git;scala;sql
"hadoop, pytorch, java",,phd,robotics engineer,hadoop;java;pytorch
"r, tableau, azure",,associate,ai software engineer,azure;r;tableau
"hadoop, git, pytorch, aws, linux",,bachelor,ai consultant,aws;git;hadoop;linux;pytorch
"kubernetes, python, azure, spark",,bachelor,ai specialist,azure;kubernetes;python;spark
"git, r, tableau",,bachelor,principal data scientist,git;r;tableau
"tensorflow, aws, tableau, kubernetes, nlp",,master,ai consultant,aws;kubernetes;nlp;tableau;tensorflow
"tableau, python, tensorflow, pytorch",,bachelor,research scientist,python;pytorch;tableau;tensorflow
"spark, linux, git, azure",,master,research scientist,azure;git;linux;spark
"python, java, mlops",,master,nlp engineer,java;mlops;python
"sql, statistics, pytorch, r",,phd,data scientist,pytorch;r;sql;statistics
"python, spark, nlp",,master,ai product manager,nlp;python;spark
"nlp, gcp, spark, kubernetes",,bachelor,ai software engineer,gcp;kubernetes;nlp;spark
"pytorch, kubernetes, sql, gcp",,phd,head of ai,gcp;kubernetes;pytorch;sql
"docker, spark, data visualization, git, python",,phd,ai product manager,data visualization;docker;git;python;spark
"aws, r, sql, deep learning",,associate,ai research scientist,aws;deep learning;r;sql
"gcp, azure, tableau, computer vision, git",,bachelor,head of ai,azure;computer vision;gcp;git;tableau
"tensorflow, gcp, nlp, spark, scala",,associate,nlp engineer,gcp;nlp;scala;spark;tensorflow
"r, python, mathematics, nlp",,phd,machine learning engineer,mathematics;nlp;python;r
"gcp, deep learning, tableau",,associate,principal data scientist,deep learning;gcp;tableau
"kubernetes, pytorch, azure, gcp, mlops",,bachelor,ml ops engineer,azure;gcp;kubernetes;mlops;pytorch
"data visualization, spark, kubernetes, java, statistics",,associate,research scientist,data visualization;java;kubernetes;spark;statistics
"sql, statistics, spark, git",,bachelor,robotics engineer,git;spark;sql;statistics
"azure, java, git, computer vision, python",,master,computer vision engineer,azure;computer vision;git;java;python
"java, python, r, docker, aws",,master,principal data scientist,aws;docker;java;python;r
"kubernetes, nlp, statistics, deep learning",,bachelor,deep learning engineer,deep learning;kubernetes;nlp;statistics
"aws, statistics, tableau",,phd,machine learning engineer,aws;statistics;tableau
"git, kubernetes, statistics, tableau",,bachelor,ai specialist,git;kubernetes;statistics;tableau
"aws, linux, python, tensorflow, java",,bachelor,head of ai,aws;java;linux;python;tensorflow
"hadoop, mlops, tensorflow",,phd,ai product manager,hadoop;mlops;tensorflow
"hadoop, gcp, pytorch, sql, linux",,master,ai consultant,gcp;hadoop;linux;pytorch;sql
"spark, kubernetes, deep learning",,bachelor,ml ops engineer,deep learning;kubernetes;spark
"java, kubernetes, tableau",,master,machine learning engineer,java;kubernetes;tableau
"python, tensorflow, docker, r, computer vision",,phd,ml ops engineer,computer vision;docker;python;r;tensorflow
"aws, mlops, gcp, mathematics",,bachelor,ai research scientist,aws;gcp;mathematics;mlops
"scala, git, kubernetes, pytorch, python",,phd,head of ai,git;kubernetes;python;pytorch;scala
"aws, statistics, nlp, tableau",,bachelor,data analyst,aws;nlp;statistics;tableau
"computer vision, pytorch, python, azure, aws",,bachelor,machine learning researcher,aws;azure;computer vision;python;pytorch
"aws, r, statistics, pytorch",,phd,ai software engineer,aws;pytorch;r;statistics
"python, hadoop, git, tensorflow",,bachelor,data analyst,git;hadoop;python;tensorflow
"python, sql, aws, computer vision",,bachelor,machine learning researcher,aws;computer vision;python;sql
"computer vision, docker, r",,master,data scientist,computer vision;docker;r
"linux, git, computer vision, hadoop, java",,phd,data scientist,computer vision;git;hadoop;java;linux
"r, statistics, nlp, spark",,associate,ai product manager,nlp;r;spark;statistics
"java, hadoop, nlp",,associate,machine learning researcher,hadoop;java;nlp
"linux, azure, mathematics, sql, hadoop",,phd,deep learning engineer,azure;hadoop;linux;mathematics;sql
"scala, computer vision, linux, python, kubernetes",,associate,ai software engineer,computer vision;kubernetes;linux;python;scala
"kubernetes, git, r, pytorch",,associate,ai architect,git;kubernetes;pytorch;r
"linux, mlops, data visualization, python, nlp",,associate,head of ai,data visualization;linux;mlops;nlp;python
"r, linux, deep learning",,associate,data analyst,deep learning;linux;r
"git, scala, statistics, mlops, sql",,master,ai architect,git;mlops;scala;sql;statistics
"java, linux, mathematics, azure, scala",,associate,data engineer,azure;java;linux;mathematics;scala
"tableau, pytorch, git, python, linux",,bachelor,autonomous systems engineer,git;linux;python;pytorch;tableau
"aws, java, azure",,bachelor,nlp engineer,aws;azure;java
"spark, kubernetes, gcp, tableau",,associate,ai specialist,gcp;kubernetes;spark;tableau
"hadoop, linux, kubernetes",,associate,principal data scientist,hadoop;kubernetes;linux
"linux, docker, r, mathematics",,master,ai software engineer,docker;linux;mathematics;r
"pytorch, tensorflow, mathematics, java, spark",,master,robotics engineer,java;mathematics;pytorch;spark;tensorflow
"scala, tableau, deep learning",,master,ai architect,deep learning;scala;tableau
"pytorch, sql, aws, docker",,master,ml ops engineer,aws;docker;pytorch;sql
"r, gcp, mathematics",,associate,computer vision engineer,gcp;mathematics;r
"tableau, tensorflow, nlp, sql",,bachelor,data analyst,nlp;sql;tableau;tensorflow
"python, tensorflow, kubernetes, hadoop, docker",,bachelor,data engineer,docker;hadoop;kubernetes;python;tensorflow
"kubernetes, tensorflow, mathematics, aws, pytorch",,bachelor,principal data scientist,aws;kubernetes;mathematics;pytorch;tensorflow
"spark, java, docker, gcp, statistics",,master,robotics engineer,docker;gcp;java;spark;statistics
